2026-05-18 13:13:05,740 | src.services.queries | INFO | get_publicaciones: 12 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 62})
2026-05-18 13:13:05,743 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 71})
2026-05-18 13:13:05,746 | src.services.queries | INFO | get_publicaciones: 1 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 69})
2026-05-18 13:13:05,749 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 67})
2026-05-18 13:13:05,754 | src.services.queries | INFO | get_publicaciones: 32 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 97})
2026-05-18 13:13:05,757 | src.services.queries | INFO | get_publicaciones: 11 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 80})
2026-05-18 13:13:05,761 | src.services.queries | INFO | get_publicaciones: 24 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 103})
2026-05-18 13:13:05,765 | src.services.queries | INFO | get_publicaciones: 17 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 77})
2026-05-18 13:13:05,768 | src.services.queries | INFO | get_publicaciones: 14 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 91})
2026-05-18 13:13:05,771 | src.services.queries | INFO | get_publicaciones: 5 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 68})
2026-05-18 13:13:05,775 | src.services.queries | INFO | get_publicaciones: 17 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 76})
2026-05-18 13:13:05,781 | src.services.queries | INFO | get_publicaciones: 27 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 86})
2026-05-18 13:13:05,784 | src.services.queries | INFO | get_publicaciones: 11 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 88})
2026-05-18 13:13:05,787 | src.services.queries | INFO | get_publicaciones: 28 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 70})
2026-05-18 13:13:05,790 | src.services.queries | INFO | get_publicaciones: 10 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 100})
2026-05-18 13:13:05,794 | src.services.queries | INFO | get_publicaciones: 11 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 60})
2026-05-18 13:13:05,797 | src.services.queries | INFO | get_publicaciones: 0 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 101})
2026-05-18 13:13:05,800 | src.services.queries | INFO | get_publicaciones: 15 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 66})
2026-05-18 13:13:05,803 | src.services.queries | INFO | get_publicaciones: 27 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 96})
2026-05-18 13:13:05,806 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 84})
2026-05-18 13:13:05,809 | src.services.queries | INFO | get_publicaciones: 10 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 98})
2026-05-18 13:13:05,811 | src.services.queries | INFO | get_publicaciones: 1 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 83})
2026-05-18 13:13:05,814 | src.services.queries | INFO | get_publicaciones: 7 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 65})
2026-05-18 13:13:05,817 | src.services.queries | INFO | get_publicaciones: 9 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 75})
